id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria Luiza;Macedo;Felipe.Souza@yahoo.com;given failing memorialize;2024-05-15T12:25:06;13246;23432
2;Joaquim;Nogueira;Sirineu70@yahoo.com;ferociously;2024-05-15T05:22:16;28621;25006
3;Washington;Silva;Clara65@live.com;yahoo;2024-05-14T22:53:43;31090;27517
4;João;Melo;Murilo_Saraiva@gmail.com;abort;2024-05-15T12:02:14;9785;11889
5;Dalila;Silva;Deneval47@yahoo.com;whoa unless;2024-05-15T06:01:33;1569;21216
6;Alexandre;Barros;Enzo_Xavier@hotmail.com;hops;2024-05-14T17:08:12;2385;714
7;Enzo Gabriel;Batista;PedroHenrique.Saraiva@yahoo.com;steep from;2024-05-15T03:00:47;23378;27713
8;Rafaela;Macedo;AnaLuiza_Moraes59@live.com;meh till hence;2024-05-15T06:17:20;14788;11960
9;Isaac;Barros;Luiza.Macedo83@gmail.com;ick ashamed cheerfully;2024-05-14T14:06:04;22513;18232
10;Alessandra;Nogueira;MariaCecilia_Reis@live.com;vision;2024-05-14T19:15:46;10894;30678
